I-75	Florida	Alachua, Bonita Springs, Brandon, Davie, Estero, Fort Myers, Fruitville, Gainesville, Gibsonton, Hialeah, Lake City, Mango, Miami Lakes, Miramar, North Fort Myers, North Port, Ocala, Pembroke Pines, Riverview, Ruskin, Sunrise, Tampa, Venice, Wesley Chapel, Weston
I-75	Michigan	Allen Park, Auburn Hills, Bloomfield Township, Buena Vista, Detroit, Flint, Hamtramck, Hazel Park, Lincoln Park, Madison Heights, Melvindale, Monroe, Royal Oak, Sault Ste Marie, Sault Ste. Marie, Southgate, Taylor, Troy, Woodhaven
I-75	Georgia	Adel, Atlanta, Calhoun, Cartersville, Cordele, Dalton, Forest Park, Fort Oglethorpe, Hapeville, Kennesaw, Macon, Marietta, Morrow, Perry, Stockbridge, Tifton, Valdosta
I-75	Ohio	Beckett Ridge, Bowling Green, Cincinnati, Dayton, Findlay, Franklin, Lima, Miamisburg, Moraine, Northridge, Northwood, Perrysburg, Piqua, Reading, Rossford, Sharonville, Sidney, Springboro, Tipp City, Toledo, Troy, Vandalia, Wapakoneta, West Carrollton City
I-75	Kentucky	Berea, Corbin, Georgetown, Lexington-Fayette, London, North Corbin, Richmond, Williamsburg
I-75	Tennessee	Athens, Chattanooga, Cleveland, East Ridge, Knoxville, Lenoir City, Sweetwater
I-76	Pennsylvania	Carlisle, Fernway, Hampton Township, King of Prussia, Lionville-Marchwood, Middletown, Municipality of Monroeville, Oakmont, Philadelphia, Plum
I-76	Colorado	Arvada, Berkley, Brighton, Commerce City, Denver, Derby, Fort Morgan, Sterling, Thornton, Wheat Ridge
I-76	Ohio	Akron, Barberton, Canfield, Norton, Tallmadge, Wadsworth
I-76	New Jersey	Bellmawr, Camden, Gloucester City, Philadelphia
I-76	Nebraska	None
I-77	West Virginia	Bluefield, Charleston, Parkersburg
I-77	Ohio	Akron, Brecksville, Broadview Heights, Canton, Cleveland, Dover, Fairlawn, Green, Independence, Marietta, Montrose-Ghent, New Philadelphia
I-77	North Carolina	Charlotte, Mooresville, Statesville
I-77	South Carolina	Cayce, Columbia, Dentsville, Forest Acres, Fort Mill, Rock Hill, Woodfield
I-77	Virginia	Wytheville
I-78	Pennsylvania	Allentown, Bethlehem, Hellertown
I-78	New Jersey	Bayonne, Berkeley Heights, Hillside, Irvington, Jersey City, Millburn, Mountainside, New York, Newark, Phillipsburg, Springfield, Summit, Union, Watchung
I-78	New York	New York City
I-79	Pennsylvania	Bridgeville, Canonsburg, Erie, Franklin Park, Kennedy Township, Robinson Township, Scott Township
I-79	West Virginia	Bridgeport, Clarksburg
I-8	Arizona	Casa Grande, Fortuna Foothills, Yuma
I-8	California	Alpine, Casa de Oro-Mount Helix, El Cajon, El Centro, La Mesa, San Diego, Yuma
I-80	Nebraska	Chalco, Council Bluffs, Kearney, Lincoln, North Platte, Ogallala, Omaham Sidney, York
I-80	Nevada	Elko, Fernley, Reno, Sparks, Winnemucca
I-80	Wyoming	Cheyenne, Evanston, Green River, Laramie, Rawlins, Rock Springs
I-80	Pennsylvania	Arlington Heights, Bloomsburg, East Stroudsburg, Stroudsburg
I-80	Iowa	Altoona, Bettendorf, Coralville, Council Bluffs, Davenport, Iowa City, Newton, West Des Moines
I-80	Ohio	Berea, Brecksville, Broadview Heights, Elyria, Girard, Hudson, Maumee, North Ridgeville, North Royalton, Olmsted Falls, Rossford, Streetsboro, Strongsville, Toledo
I-80	California	Albany, Auburn, Berkeley, Citrus Heights, Davis, Dixon, El Cerrito, Emeryville, Fairfield, Foothill Farms, Hercules, Loomis, North Auburn, North Highlands, Oakland, Pinole, Richmond, Rocklin, Rodeo, Roseville, Sacramento, San Francisco, San Pablo, Truckee, Vacaville, Vallejo, West Sacramento
I-80	Utah	Canyon Rim, Salt Lake City, South Salt Lake, Summit Park
I-80	Illinois	Channahon, Country Club Hills, Geneseo, Hazel Crest, Homewood, Joliet, La Salle, Lansing, Markham, Mokena, Morris, Munster, New Lenox, Ottawa, Peru, Princeton, South Holland, Tinley Park
